customer_id,first_name,last_name,email,street,city,state,country
0,James,Griffin,michelle58@example.com,9749 Matthew Crossroad,Port Jessica,Alabama,Paraguay
1,Logan,Gibbs,leonard35@example.com,3042 Alexander Hills,West Stephanie,Kentucky,San Marino
2,Andrew,Williams,lauradeleon@example.net,631 Rogers Ranch,New Craig,Minnesota,Romania
3,Nicole,Price,kathleenvillanueva@example.org,022 Todd Spurs Apt. 205,Port Janicemouth,Wisconsin,Belarus
4,Jaime,White,meltonamanda@example.org,9760 Daniel Burgs,Jaimeborough,West Virginia,Sri Lanka
5,Christine,Wilson,katie81@example.net,5145 Dana Spring Suite 293,Connieside,Wyoming,United States of America
6,Robert,Brown,michaelkristina@example.net,7370 Thomas Locks Apt. 058,Sanchezmouth,California,Paraguay
7,Karen,Garcia,browndennis@example.com,7895 Mckinney Mews,North John,Vermont,Bahamas
8,Laura,Gonzalez,caitlinjones@example.org,02159 Adkins Heights,Cherylburgh,Wisconsin,Cayman Islands
9,Mark,Mcdaniel,brian86@example.net,06655 David Parkway,East Deborahchester,South Carolina,Bermuda
10,Christina,Ramsey,raymondbuchanan@example.org,289 Clark Route Suite 243,West Kristinafurt,Nebraska,Samoa
11,Tyler,Baker,glester@example.com,88959 Kayla Isle,New Edwardfurt,New Mexico,Kenya
12,Marc,Chandler,drichards@example.net,67134 Daniel Light,Port Mikayla,Washington,Lesotho
13,Kaitlyn,Harris,laura64@example.net,006 Jacob Drive,Hannamouth,Vermont,Nauru
14,Robert,Green,acostaandrew@example.com,300 Morris Trace Suite 661,Martinezview,Alaska,Nigeria
15,Crystal,Herrera,saustin@example.net,79187 Melissa Extension,East Jenniferbury,Washington,Spain
16,Julie,Fisher,christopher68@example.net,97217 Kendra Ford,Shannonstad,South Dakota,Bulgaria
17,Mitchell,Anderson,jacob16@example.net,531 Martin Pines Suite 664,Theresahaven,Alabama,Japan
18,Barry,Ritter,sbrown@example.org,3410 Elizabeth Divide,South Kimberlyshire,Hawaii,Guam
19,Paul,Evans,felliott@example.com,5743 Richardson Grove,Huangton,Maryland,Suriname
20,Keith,Bennett,james29@example.net,8305 Johnson Dale Apt. 818,East Cynthiahaven,Michigan,Cook Islands
21,Michael,Hall,taylorkaren@example.com,217 Monica Rue,Lake Rebecca,Idaho,Kazakhstan
22,Kevin,Perez,eanderson@example.net,724 Ramirez Plains Apt. 103,Port Daniellemouth,Wisconsin,Ireland
23,Denise,Shepherd,thomaskaren@example.org,8972 Wilson Via,East Wayne,Rhode Island,Latvia
24,Jessica,Johnson,joshua89@example.com,1513 Robert Hollow Suite 826,North Alexville,Arizona,North Macedonia
25,Sabrina,Wright,joseph67@example.org,41374 Christine Throughway,Russellview,Alaska,Kazakhstan
